نوع البطوله,الوصف,الفريق الاول,الفريق الثانى,النتيجه,التوقيت
الدوري المصري,الأسبوع الخامس والعشرون,البنك الاهلي,طلائع الجيش,(2 - 0),21:15
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,استون فيلا,نيوكاسل,(3 - 0),13:30
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,وولفرهامبتون,برينتفورد,(2 - 0),16:00
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,ساوثامبتون,كريستال بالاس,(0 - 2),16:00
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,ايفرتون,فولهام,(1 - 3),16:00
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,تشيلسي,برايتون,(1 - 2),16:00
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,توتنهام هوتسبر,بورنموث,(2 - 3),16:15
الدوري الإنجليزي,الأسبوع الحادي والثلاثون,مانشستر سيتي,ليستر سيتي,(3 - 1),18:30
الدوري الألماني,الأسبوع الثامن والعشرون,بايرن ميونيخ,هوفنهايم,(1 - 1),15:30
الدوري الألماني,الأسبوع الثامن والعشرون,لايبزيج,أوجسبورج,(3 - 2),15:30
الدوري الألماني,الأسبوع الثامن والعشرون,كولن,ماينز,(1 - 1),15:30
الدوري الألماني,الأسبوع الثامن والعشرون,شتوتجارت,بروسيا دورتموند,(3 - 3),15:30
الدوري الألماني,الأسبوع الثامن والعشرون,آ. فرانكفورت,مونشنجلادباخ,(1 - 1),18:30
الدوري الإسباني,الأسبوع التاسع والعشرون,فياريال,بلد الوليد,(1 - 2),14:00
الدوري الإسباني,الأسبوع التاسع والعشرون,اتليتك بلباو,ريال سوسيداد,(2 - 0),16:15
الدوري الإسباني,الأسبوع التاسع والعشرون,ريال بيتيس,اسبانيول,(3 - 1),18:30
الدوري الإسباني,الأسبوع التاسع والعشرون,قادش,ريال مدريد,(0 - 2),21:00
الدوري الفرنسي,الأسبوع الحادي والثلاثون,رين,ريمس,(3 - 0),17:00
الدوري الفرنسي,الأسبوع الحادي والثلاثون,ب. س. جيرمان,لانس,(3 - 1),21:00
الدوري الإيطالي,الأسبوع الثلاثون,بولونيا,ميلان,(1 - 1),15:00
الدوري الإيطالي,الأسبوع الثلاثون,نابولي,هيلاس فيرونا,(0 - 0),18:00
الدوري الإيطالي,الأسبوع الثلاثون,إنتر ميلان,مونزا,(0 - 1),20:45
الدوري التركي,الأسبوع التاسع والعشرون,أضنة دمير سبور,قاسم باشا,(5 - 0),15:00
الدوري التركي,الأسبوع التاسع والعشرون,إسطنبول سبور,إسطنبول باشاكشهير,(1 - 0),15:00
الدوري التركي,الأسبوع التاسع والعشرون,فنربخشة,أنقرة جوتشو,(2 - 1),19:30
الدوري البرتغالي,الأسبوع الثامن والعشرون,إستوريل,بورتيمونينسي,(0 - 1),16:30
الدوري البرتغالي,الأسبوع الثامن والعشرون,ماريتيمو,باكوس فيريرا,(3 - 1),16:30
الدوري البرتغالي,الأسبوع الثامن والعشرون,شافيش,بنفيكا,(1 - 0),19:00
الدوري البرتغالي,الأسبوع الثامن والعشرون,بورتو,سانتا كلارا,(2 - 1),21:30
الدوري التونسي,الجولة الثالثة,الافريقي التونسي,اتحاد تطاوين,(4 - 1),14:30
الدوري التونسي,الجولة الثالثة,النجم الساحلى,الإتحاد المنستيري,(2 - 1),14:30
دوري نجوم قطر,الأسبوع التاسع عشر,نادي قطر,السد القطري,(0 - 2),20:45
دوري نجوم قطر,الأسبوع التاسع عشر,المرخية الرياضي,ام صلال,(2 - 3),20:45
الدوري المغربي,الأسبوع الثالث والعشرون,الرجاء البيضاوي,الشباب الرياضي السالمي,(0 - 0),23:59
الدوري المغربي,الأسبوع الثالث والعشرون,نهضة بركان,الفتح الرباطي,(1 - 0),23:59
الدوري المغربي,الأسبوع الثالث والعشرون,الاتحاد التوركي,الوداد البيضاوي,(1 - 2),23:59
